line_1,line_2,line_3
evening shadowsâ¦,the things we deny,become more visible
rain puddle . . .,a refugee child stirs,the cold moon
wildflowers,in each clay pot,abandoned family garden
cold winter â,another patch,in the old blanket
withered peony,her love story,after menopause
womenâs day â,nothing has changed,except her Facebook status
climatic change â,under heavy snow,the refugee camp
jury duty,the clock pendulum goes,back and forth
summer breeze--,someone practices drums,in the valley
no rain--,the sound of crunched,grass
museum--,so hot the mummy,sweats
summer rain--,drops descend the lily,leaf by leaf
hail storm,the golfers run,for cover
night sax. . .,dreams in,B flat
between,thunder and lightning,zero
I rescue,a mouse from the cat--,burnt steak
Memorial Day,an old couple rereads,the letter
Saturday night--,someone vomits beneath,the blossoms
evening rainâ,buying cherry trees,online
mid April,the grass finally,looks like grass
noon sun--,someone playing scales,on a saxophone
shaving--,I share the mirror,with a spider
spring flies,buzz above my head--,E flat
starless skyâ,dead batteries,in the flashlight
out of the fogâ,a white barn with painted,butterflies
paint peels off,the old white houseâ,March thaw
same path,even in deep snowâ,the blind horse
spring day,two hawks circle below,the contrails
spring rain,cars slowly leave,the cemetery
beautiful orange butterfly,lands on his shoulder~,oblivious
trembling,the hair ribbon falls,with inhibitions
sixty miles later,red leaves from my mumâs garden,stuck to my windscreen
japanese garden -,the pouring rain,on the stone buddha
spring sun -,the yellow house,just painted
leap year -,the old man's cane,also left its tracks
wild life -,a fly crosses,in front of the TV
traffic jam -,Moon passes through,the Earth's shadow
guest room -,the silence of the moon,at the window
sleepless night -,full moon has arrived,to other window
winter darkness -,last train runs,into the tunnel
winter day -,all those nude statues,in the park
winter blackout -,all the house,full of night
clear sky -,an old man sweeps,fallen leaves
tonight's quake -,trees without leaves,at sunshine
empty room -,the shadows of nails,on the walls
humid morning -,a bee floats,in the fountain
autumn flowers -,old men at the park,taking the sun
back to school -,the sun lights,the orange juice
distant hurricane -,in the middle of the rain,a phone rings
distant thunder -,a businessman talking,on cell phone
spring rain -,between she and me,hundreds of drops
monday morning -,a white butterfly follows,the train line
after the quake,a leaf falls,on the patio
waiting for the bus,a street dog sniffs,my shadow
sound of the rain -,after a while,she calls my name
window pane -,at the end of my finger,the cold moon
spring break -,colorful tents,in the desert
long trip -,at the end of highway,the moon
cityscape -,the moon rises,from a chimney
waiting for the bus -,at the end of the street,sunset
warm winter day -,the smell of,a new book
factory wall -,the smell of,a new graffiti
half yellow moon -,workers talk about,tortillas
Valentine's day -,the heart balloon,don't enters the taxi
trash can -,flies,and shadows of flies
traffic jam -,women talk about men,in the radio
abandoned car -,accumulated leaves,on the windshield
sudden rain -,fallen candies,on the sidewalk
empty square -,no more,Christmas lights
new year light -,dust of one day,on the keyboard
cold rain -,thousands like me,going to work
monday dawn -,the silence,of traffic lights
first frost -,only two passengers,speak...
subway heat -,the breeze,of the arriving train
traffic jam -,another star appears,in the sky
waiting for the bus -,my shadow,also changes postures
lightning at window -,the stopped train,in the storm
windless day -,a man whistling,on the street
traffic at night -,she talks about,cholesterol
night of stars -,moths circle,the street lamp
turn off the lights -,the night outside,and inside the room
autumn cleaning -,a desk drawer,full of dry pens
the taxi driver,tells me about his life -,autumn rain
pigeons on wires -,he tunes his guitar,beside a pole
night of stars -,a white ball floats,in the pool
cloudy day -,the horn,of a yellow cab
bus stop -,a woman's perfume,in the air
subway window -,she smiles at,my reflection
looking at her,childhood photos,my girlfriend older than me
morning sun -,the long shadows,of little stones
crescent moon -,she is cutting her nails,in the garden
night of stars,in the next room,my sick mother
new year's balloons -,the pregnant woman,staring at the mirror
cloudy sunset -,a lone traffic light,turns red
soccer championship,the winter moon,on the stadium
christmas lights,the silhouette of trees,in the dark
winterscape -,a traffic sign in the snow,points to no way
glass tower -,the moon is part,of the west facade
crowded bus,every passenger breathes,the same autumn
new yellow car,autumn leaves,on the windscreen
bus window -,she travels with the full moon,on her head
thicker dust,on a little Buddha -,early autumn
sidewalk cafe,on the empty seats,fallen leaves
dogs barking,perhaps I was a cat,in other life
scent of rain,in the open window,no mosquito
autumn wind,a line of red traffic lights,becomes sunset
subway window,she and her reflection,cry at the same time
20 million city,another street lamp,into the night
a line of traffic lights,change from red to green,summer full moon
apartment tower,a new letter,for the dead neighbor
washing my clothes,somebody looks at me,crescent moon
cloudy day,a penny shines,on the sidewalk
open window,the sound of rain,interrupts my dream
summer rain,another me walks home,under me
flea market,a still fly is part,of the old clock
with each sip,from the bottle,moonlight on my face
fallen leaves,some stars shine,in the sky
unemployed,but I'm writing haiku,about the rain
waiting room,stars appear,one by one
a line of ants,the empire state building,in the distance
pan-fried trout,I learn something new,about my father
long before I came,long after I leave,blossoming pear
falling star,another woman says,me too'
winter solstice,the growing darkness,on death row
a hearse leaves,the prison compound,cold moon
summer heat,dragonflies escape from,the convict's pencil
Independence Day,watchtower guards,locked and loaded
the convict's debt,nearly paid in full,waning moon
wind chill,a few crows among,the homeless
year end,a convict's calendar,full of X's
visiting day,blue mascara on,a convict's wife
waning moon,a faux cease-fire,in Aleppo
Pearl Harbor Day,the Koi pond littered,with fallen leaves
the snake's dead skin,left in the driveway,Mustang Cobra
amid war,and rumors of war. . .,another grandchild
spring cleaning,long neglected baseball cards,see the light of day
long night,the waterfall's,icy silence
gale winds,the stone Buddha,remains centered
windstorm,the berry stains,on the path
pissing in a puddle,droplets of moonlight,on her sandal
indian summer,the neighbor's daughter sunbathes,beside their empty pool
chill night,new fallen pear blossoms,glow in the moonlight
fresh cut lawn,a dozen fireflies,inspect the job
motherâs day,he laces,her shoes
breakup â,my daughter's voice cracks,across two continents
just friends â,a taste of summer,in her kiss
firedâ,at last i wake,on time
day of blossoms,a nurse erases,motherâs name
mother's day,a nurse unties,the restraints
mother gone,moonlight shimmers,the last white rose
moving day â,the kids pack up,my first marriage
morphine drip,my father asks me,for more time
stonehengeâ,scent of lemon,from the hotel soap
waiting the morning,the sun at the tip of the branches,of the maple tree
changing winds,bring up your kite,and the Dow
summer solstice,longer days,shorter writings
spring wind,scattering flowers of the magnolia,her nineteen years
bowing one's head,passing under the lilac,heavy with snow
last note,before she takes the bus,cold Winter morning
passing --,between the shadow of the maple,and the moon
last moon,before irradiation,Hiroshima
fresh autumn breeze,or the advance of age?,forgotten tea...
moonless night,a cereus cactus opens,solstice blooms
sudden gust,carp leap from poles,to gulp the air
chill wind,beneath the monk's robe,a naked monk
screen of pine,white silence glides,on egret wings
sand through fingers,a tracery of palms,on midnight blue
silken winds,i am wrapped in quietness,of cottonwood seeds
back and forth,grinding ink slowly,the weight of my words
fogged window,a blend of green and gray -,hot tea with milk
morning fog,dissolving cypress -,sfumato
slice of moon,the scent of jasmine spills,into thick darkness
all day rain -,i add more flour,to the kneaded dough.
march snow...,the scent of lilacs,pressed in my book
windless night,a deeper silence,after the train
december night,now and then,the owl's soft voice
the lonely feeling,of dylan's harmonica,evening star
evening train,going the same way,as the sun
old roses,blooming again,september evening
cottonwood leaves,the quiet way,they soften the night
insomnia,a light flickers,in the foothills
chinook wind,the softness of a day,in february
long day over,at last,alone with the wind
insomnia,a lone light,on the mountainside
nightfall..,my thoughts linger awhile,on the old days
winter night,old trees,filled with stars
as if,summer had no end,wildflowers
all-day headache . . .,watching the moon rise,with the wind
winter pond,my stone ricochets,into the reeds
echoes,two owls somewhere,in the night
insomnia,the sound of a goose,lost in the night
the time it takes to learn,how to be silent,blue mountains
homesick,a hot wind rattles,the cottonwood leaves
huddled cows,their steam thickens,the valley mist
gaza,murdered children,my faded lilacs
alep bombings,at my bathroom window,the misted full moon
schedule screen,the spider spinned its web,between two tramways ---
in the greyness,the rosÃ© bottle,of the homeless ---
subway station,ads as only light,the day after the bombs
leap year,looking a her twins,a squinting woman ---
less cars,in front of the brothels,valentine's day ---
on my smartphone,mount fuji in the sunset,morning coffee ---
after the bell,just the rain on the umbrellas,ashes to ashes
for just a moment,the warmth of our tears,cold rain
morning run,observing me at the observatory,the fox
the evasive look,of a teen without make up,first buds
evening bus,this man in the reflection,is it me?
her cooled tea,in the middle of the table,first snow ---
evening tram,her diamond on her nose,a star ---
more piercing,in the autumn mist,the blackbird's song
asleep,a golden dot on her ear,bus forty one
emptied fountain,carried by the autumn wind,silt scent
the silence,of the april rain,after the shower
back to school --,still a bit of high tide,near sand dunes
around the moon,"slowly, the haze",above the crickets
watching the moon,moving behind the oak,Summer wind
autumn freshness,nourishing a child,of eighty years old
saturday morning,under the japanese cherrytree,a pink puddle
the Big Dipper,moving on the water,spring rain
spring night,we're chatting peacefully,near the violets
ex-girlfriend,with a baby carriage,spring rain
tonight,a moorhen perturbing,the great bear
first snow,a loser teenager dead,from an overdose
new moon,nothing else on the lake,than the calls of the moorhens
low clouds --,listening to the snow,sleepless night
apple pie scents,my dead grandmother cooking,in a photo album
haÃ¯ku,written in the underground,unreadable
friday evening,the silence of the office,on my keyboard
after the fireworks,he marvels,at the moon
5 o' clock am,behind the thick fog,fresh bread scents
in the rear-view mirror,the loving look of the mother,her reciting daughter
in the empty schoolyard,only plastic bags,are going the rounds
a pen in a hand,she's counting the empty bottles,I'm counting her assets
opening the window,and smelling the white lilac,bloomed last night
late season,christmas lights illuminate,a golden buddha
"a hint of blue, still",in the passing of these clouds,â sip of coffee
bedtime --,trying not to count,maimed solders
indian summer,the viagra stock,deflates
pregnant again . . .,the fluttering of moths,against the window
for a moment,the gull in the air,is very white
"Fly,",be afraid!,No Buddhists in this house!
spring breeze--,between pages of an old book,a crushed rose
veteran's day,photo of the uncle,I never met
the cries,of homecoming geese,louder
pale overcast,the darker shadow,of returning geese
my wife,home from hospital,hibiscus in full bloom
My 72nd winter,the deepening cold,in every room
month-old obit,of an ex-girl friend,unexpected rain
back and forth,across our conversation,fireflies
death watch ended,the rain storm,begins
my wife,home from the hospital,hibiscus in full bloom
at opposite ends,of the reading room,ex-lovers
despite my assurances,my wife's makeup,thicker
somewhere,behind the old barn,end of the rainbow
thunderstorms,all day long,broken promises
hot chocolate,the scent stronger,this cold night
late night rain,the crickets finally,silent
nothing,in our bedroom,but moonlight
sunset traffic,slowly down the hill,into darkness
at the crossroads,no wind to give,a direction
smalltown street,sunset and moonrise,at opposite ends
slow afternoon,the rain changes,to drizzle
home alone,the cold,of an autumn rain
silent night,the fog thick,at every window
late night traffic,the swirl of leaves after,the last bus
while making love,the last icicle,falls
bad news from home,the cold morning,colder still
voices,in the cemetery,remembrance day
after the argument,the storm clouds also,break up
pouring rain,yet another question,without an answer
graveside sermon ended,the last leaves blown from,a nearby tree
63 today,nothing from here to the horizon,but fair weather clouds
start of a new season,a book loaned,to a new friend
right after,morning prayers,distant thunder
mountain storm,somewhere during its echo,the thunder ends
60 today,the full moon,still rising
somewhere,in the graveyard,birdsong
also,in the fog,the scent of autumn
cold dark night,the warmth of her hand,in mine
snow and rain mixed,my angry words,and her tears
death,of an old friend,my cup empty
behind the man,in the open doorway,nothing but darkness
the gap,between the mountains,filled with fog
grain silos,long shadows,on fresh snow
rusted wire,on a weatherworn post,wisps of gray fur
backyard BBQ,at the end of his rope,a barking dog
remembering summer,how brittle the leaves,underfoot
summer rain,the smell of earth,in the air
watching clouds,the white petals,of a crushed crocus
smells of spring,adrift in the morning air,bubbles under ice
after the rain,moon and stars,underfoot
70 mph,the infant snores,a bit slower
winter night,finding my pajama bottoms,on my wife
putting a cork,in last night's wine,late autumn
the glass jar,full of fireflies,bedtime
evening sky,counting some fireflies,more than once
smell of rain -,soft ridges of mint leaves,oil my fingers
blackbird song -,the name of a daughter,i'll never know
November fog;,not a tree,to be seen.
Purple loosestrife;,pale in the,lingering mist.
A cold morning;,the pink of tulips,through the mist.
Harvest moon,dancing with my husband,in the living room
a movement of deer,into twilight,suddenly spring
fireflies competing,with a full moon,summer solstice
the way grass parts,as the pheasant passes,spring's end
moonlessness--,so many ways,I want to touch you
earth day--,even the shadows at dusk,smell green
fading,right before my eyes,morning moon
light rain,"on sweet, sweet clover",late summer's dusk
winter rain,the confusion in her voice,all over again
morning moon,filling up my window,autumn's end
summer's end,the tenderness,of light
after loving-making,scent of wild clover,through the window
after the dream,the scent of approaching rain,in the dusty air
park bench,she puts acorns,in his ears
supermarket,on a Sunday morning,Stairway to Heaven
roadside,a strip of painkillers,empty
before the bridal party,unfashionably early,rain arrives
a crack,in the pavement,yellow freesias
piece,of a butterfly wing â,autumn chill
a crow,on the wire,silent rain
old park bench,i touch our initials,each time i pass
new housing--,hammer and saw replace,the dove's coo
no island,in the bay today,morning fog
stop sign,thru the bullet holes,ghetto moon
desert garden,frosted lettuce leaves,in the pink dawn
iceman,last night's freeze on,the clothesline
winter rain,the sheets where she slept,grow colder
giant moon. . .,the bark of a dog echos,over the fence
crystalline sky,the pioneers left no clue,which trail to take
willow scent,a kingfisher hangs,in the air
desert heat-,smiles along the narrow road,to the deep north
spring trek,a rusted snowplow,at roads' end
sweet basil,dried snail tracks crisscross,the window box
Arizona,"road stop rest, the dog sniffs",yellow snow
a moth flutters,over the candle flame . . .,damned idiot
still water . . .,the undercurrent,in her voice
November winds,the dog finds dead birds,in the hedge
highway fog-,the honking of geese,homeward bound
desert wind-,iron and copper flavor,in my coffee
spring day-,the wall clock,still winter
appalachian spring-,carbide carbuncles,in the coal oil light
moon hare-,bloody gloves lay,on the ice
frosty dawn-,the dog watches me,pack my bag
campfire coffee. . .,condor wings glean,the first rays of sun
arctic air,soothes the desert heat . . .,blended whiskey
slate skys,chalk mark outlines,on the sidewalk
peach moon . . .,the thin slice left,for us
grassy moon,we slip off our shoes,to count the stars
garden embrace,the fresh smell of her,sun dried laundry
kitchen embrace,the smell of her hot,apple pie
farewell embrace,a faint essence,of mothballs
montana morning,the horses with their backs,to blowing snow
street light sway ~,dreams of her linger,with the storm
Sack of cheeries ~,clouds grow dark on the road,to the coast
salmon sunrise,a splash resounds over,the calm bay
farmer's market,she paints a flower,on a child's cheek
tandem bicycle,wind in our hair,a shared laugh
misty morning,echoes of blue jay cries,through the pines
fresh brewed coffee,cream and sugar swirls,she stirs in her thoughts
spring breeze,blowing dandelions,in circles
dry haystack,flames climb higher,against the night sky
rainy morning,the haijin stirs,sugar in his coffee
alabaster moon ~,glowing among bare pine tops,in cool mountain mist
kissing her slowly,where the rain,never falls
lyrid meteor showerâ,a blooming apple tree,at dusk
scramble of house sparrowsâ,a conference call,with my sisters
negative testâ,blooming narcissus,in the trash pile
alone,at dayâs end,driftwood
catching up,after forty yearsâ,dust devils
another birthdayâ,watching the long ash,on the incense
blistering heat,a faint breeze moves,mountains
a magnifying glass,on the map of kyotoâ,faraway so close
her blind dateâ,not enough spice,in the ratatouille
before the rest,of the world awakens,iris shoots
penumbra,around my shadow,hush of dusk
barbed wire around,the abandoned orchardâ,swollen buds
standing stock-still :,the deer,& me
afternoon tea,empty garden pots,fill with snow
scattering,wild aster seedsâ,autumn rain
cold rain,i move my coffee,closer
california poppies--,the faint scent,of asphalt
no word,from an ill friendâ,leaves falling
thunder moonâ,long-awaited rainstorm rips,through the arroyo
thunderstormâ,clap of skateboards,in the park
neighborâs clematis,on my side of the fence,free love
the roshiâs,incense-smoked robe,weight of winter
leaving the dust,of the world behindâ,summer tea
ghost pines,under a crescent moon,summer drought
typos,in her apology,spring weeds
sparks when,i take off my robe,winter drought
in the soup line,each man turned,toward the sun
candles flicker,through my eyelids,zazen
those shells,we collected for herâ,high tide
deep wrinkles,in the face of an elderâ,becoming dusk
after a lobotomyâ,the pumpkinâs,toothless grin
late summer,morning glories,hold the sky
slow steady rain,the muscles in my back,unknot
evening breeze,my neighborâs bbq,drifts this way
high winds,a zillion elm seeds,looking for love
memorial day,another mattress sale,at the strip mall
released again,as the puddles dryâ,apricot petals
garden ghost,the blooming apple tree,on a starless night
amber alert,the wind trails off,to a whisper
winter wind,lily petals fall,around the vase
steam rising,through a band of light,winter tea
intermittent rainâ,looking through a box,of old letters
after harsh words,we pull our chairs,into the sun
family dispute,lily dust peppers,the table
she bows lower,than all the othersâ,temple bell
a night off,the hooker plays with herself,in her sleep
rain shimmer,on fallen leavesâ,leftover love
all one can see,in her shaky handwritingâ,dark rain
on each pass by,she rearranges the cut flowers,frost warning
late love,through dusty windows,a mellow light
fifty years,of letters & journalsâ,flash flood
summer night,somewhere a saxophone,on born to run
vacant lot overgrown,with queen anneâs lace,and car parts
garden stones,pearled by wind and rain,indian summer
mountain thunder,the birds change,their tune
autumn chillâ,replacing the battery,in my mouse
after the rainstorm,last drops from the roof,heighten the silence
at the top of the fence,morning glories,climbing air
thunderstorm,so longing,for you
summer night love,whatever the neighbors,are cooking
storm watchâ,scars iâve learned,to love
headlights,in the dust storm,old friends
winter night,without the heat,of his company
all the typos,in her apologyâ,spring winds
leaving home,a curve carved off,the moon
day settles down,to this world of dust,evening zazen
seeing where,that argument is headedâ,spring dust storm
a long winterâ,bevel on the mirror,throws a rainbow
a dogâs bark,wavers in the wind,evening shadows
another yearâ,those crossed out names,in my address book
my neighborâs,apricot tree is blooming,secondhand love
overcast,the first blooms,of apricot
homesickâ,sundown just behind,the fence
spitting seeds,into a blue skyâ,the old elm
forgetting to ask,for the seniors' rate-,falling leaves
just over the fence,a constellation of stars,and trucks
wildflowers,along my neighbor's wall,soften her voice
unexpected guest-,a thought came out,of nowhere
midnight--,loading thoughts,onto a passing freight train
empty shells--,the ocean,in my coat pocket
wild winter night-,a flute plays along,with the rain
long exhale -,a steady rain,on the tin roof
summer heat--,the peppered scent,of nasturtiums
after rain--,amplified crickets,in the night
freight train --,those little stars,so far away
queue to vote---,scent of sausages,in the cold grey sky
friday afternoon--,just the bees,in lavender
spring graffiti --,blossom all over,the warehouse wall
lemon tea,and lavender oil,the rain on repeat
open window--,lemon scented tea tree,in the rain
surfing waves,a tiny lizard,on corrugated iron
my own pace --,tiny flower blooms,from a crack in concrete
fading light--,the last sunflowers,half price
in the skeleton,of an old house,a new spider's web
industrial skyline--,where the rain,makes rust
sharing stories--,in dad's old eyes,always the sea
after midnight--,crickets,and a city train
stars in the river--,two boys,night fishing
sun on a dragonfly's wings--,when all else,vanishes
cloud cover--,just knowing,the moon is still there
mandarin--,a few segments,of sun
whale sighting--,all the smart phones,lined up on the deck
freight train night--,the restless,dreams
cold night--,not one silver track,on the footpath
lullabies,of suburban,night trains
steady drizzle--,a rainbow fades,into the grey
above the oil refinery,moon sails,seaward
dark early--,sepia roses,under street lights
night rain--,never too old,for a lullaby
rainy afternoon--,hot pikelets,with butter and honey
rearview mirror--,pelicans with sunrise,on their wings
city peak hour -,happily lost,in sunset sky art
industrial decay--,the dripping rust,in heavy rain
night rain--,we jump in neon puddles,and breathe rosemary
freight train--,the night runs out,of breath
nighttime whoosh --,a city train,fades
car park puddle--,i walk through,the sky
around the campfire,we wait,for the milky way
graffiti night--,all these stars,sprayed everywhere
city bound train--,a book and a suitcase,full of stars
autumn chill--,one little cricket,sings to the moon
cooler mornings--,the honey slows down,from the spoon
wild beaches,in winter time--,take me there
home alone--,sound of my fork,on the pasta bowl
alongside the train tracks--,secrets of orchids,under moonlight
stormy weather --,a clarinet,blues afternoon
trains approaching--,someone on a platform,reading to the moon
sipping her coffee slowly,she warms her hands,on old memories
train whistle,in the distance,another sleepless night
smell of rain,young deer run,across the field
white clouds,glide safely,over mine fields
winter solstice --,the Persian cat's half-,closed eyes
all I need are mountains,and a hedgehog -,autumn deepens
full moon,another baby cries,without batteries
autumn rain..,the last time to write,dear john again
To the Finland Station --,they rush,to strike a deal for iPhones
cat's paws crawling,across a lake's surface,morning silence
Croton hedges,with their faux fall foliage,South Florida in autumn
blood on barbed wire,a pale moon,reveals the crime
They share,a bruised apple,moonlit feast for two
Harvest moon --,too much light,for field mice
summer rains gone,the river,finds its own channel
his name,on the black granite wall,"and we must ask, why ?"
rumble of thunder,rouses dawn,late summer in Miami
ash covers his school desk,all the remains,"8:17 am -- Hiroshima, local time"
brush in hand,he carefully...,"8:16, local time, Hiroshima"
in a pile of rubble,faint peeps are heard,"rats, of course"
ebb tide's retreat,and I grow older,recessionals
tang of salt spray,at a fishing pier,late summer
lighting the way,with a jar of fireflies,childhood's last summer
in the evening coolness,of a verandah,hereyes reflect stars
after a long night,the singing of birds,at dawn
Clouds gather,in a darkening sky,a walk interrupted
a careful sip,more of chickpea than coffee,his breakfast brew
croaking of frogs,just after dawn,summer memories
silk from a web,entangled in my hair,a homeless spider
Before dawn,By the small pond,The sound of crickets
chamomile petals,swimming in rainwater,for her blonde highlights
Splat !,a windshield and a bug,find each other
polished granite,reflects my face off,my father's grave
cold rain,sharp as nails,late afternoon
El Hueso's dry bones,still wrapped in a uniform,that he so disgraced.
"old, brittle, dry bones",found inside a uniform,a past imperfect
childhood's summer gift,that first dandelion,dancing on the wind
a cooing is heard,from a small puff of feathers,another dawn
in an old snapshot,his Irish smile still flashes,"her slight, shy smile, too "
faces from the past,their memories in old photos,effaced by the flood
under a full moon,a homeless man gathers cans,urban harvest
deep into the night,a dog's sharp bark,becomes gunfire
butterfly wings,so loud their flapping,in a temple's silence
sharp smell,after a noon downpour,electric summer
rows of white markers,all at attention,Memorial Day
late morning breakfast,left uneaten,too much of spring
Just a small basket,filled with hidden treasures,she carries proudly
a yellowed clipping,falls out from her Bible,Emmett Till's obit
early morning dew,on a bronze temple bell,just before ringing
clear lake enclosed,entirely within,a bowl of miso
breakfast still rumbles,but no other guns are heard,Armistice morning.
"The bugler plays ""Tap""",her face so serious,"her parents, so proud"
Ordinary morning,"bluest of skies, crisp, clear air",until the shadows
mid morning coffee,sipped from a chipped old mug,so comforting
Rainbows reflected,in so many potholes,afternoon rainstorm
that spring day,the flowers have long faded,yet we remember
the mirror reflects,a face I know so well,dad's
perched on a guardrail,of a busy highway,an egret preens
Cracks on a sidewalk,lost among the grass and weeds,urban spring
Cracked head statue,of the Buddha; a reminder,everything passes.
one plus one = 3,a happy couple expecting,their first child
Fountain pen ink spill,not contained by a blotter,Mare Crisium
rivulets of red,running down her pale young face,she clutches a doll
he turns one last time,flashing his sailor's wry smile,that bright November.
the War on Horror---,G.I.'s on hashish kill,Afghans for sport
I turn off the pumpkin lights---,a predawn,harvest moon
white roadside crosses,where the road's swale meets Nature,memento mori
harvest moon gleaners,"pale faces, leaden eyes stare",at an empty field
"glassy-eyed, gutted",catch of the day on shaved ice,at the fish market
neither white nor black,a yellow smog that won't lift,Alzheimer's pall
Full Corn Moon,time to gather the harvest,before leaves fall
charred goat bones,they say -- without conviction,Somali nightmares
too hot for miso!,he pushes it aside,that August morning
wildflower bouquet,left on a country highway,the endless road
tea leaves carefully,"saved, dried, and used again",hidden poverty
there's a pelican,"-- in that ball of feathers, tar",or it is a gull?
full moon,the wind howls through our clothes,and the crushed grass
night drizzle,puddles fill with streetlights,instead of stars
mountain hike,lost among butterflies and,the scent of honey
closed window,a bee lies so stillamong,faded pollen
twin bed,wearing your flannel shirt,keeps me warm
back porch,laughter echoes,between claps of thunder
end of summer,strands of an abandoned kite,flutter in the wind
in the hospice,an out of tune piano helps,her sing without words
hand in hand,white petals blossom,as we pass
abandoned home,an old life laid to rest,among weeds and trees
humid morning,the scent of lilacs,fills each breath
icy pavement,unopened buds shrink and fall,from the trees
blood moon,forced to become,a woman
light rain,lavender blossoming,in a sketchbook
rain puddle,a childâs gumboot,splashing stars
french cheesecake â,all our thoughts,coated in sugar
solstice night â,the insomnia,of bushfire
first light . . .,the bright scent,of tea leaves
bathroom mirror,always a stranger,in my place
campfireâ,the autumn leaves,losing light
white dawn...,the cherry-tree in bloom,before the sun
first day of the year,fresh snow,covers the old
petals of azalea,in my memory,something is lost
triple malt beer,a loud laugh,measures the night
crescent moon --,the street magician's trick,finally revealed
drying laundry â,the faded colors,of twilight
cooking together--,a touch of cinnamon,on my lips
Late summer;,the greyness of dusk,without fireflies.
Herding sheep;,the prickly smell,of wet wool.
long afternoonâ¦,the sky trickling,from a tide pool
twilight tide,the last glimmering,of oystercatchers
summer lilac,bent to the heat,of the railroad
